; Beast names (may be shown outside dictionary / bestiary section.)
dictionarytxt 138, "Very ferocious,", "doesn't like", "black" ; "どう猛な性格で", "特に黒い色には", "過剰に反応する"
dictionarytxt 139, "Still a child.", "will likely grow", "into a giant oni" ; "未だ子供の状態で", "成長すると巨大な", "鬼と化すらしい"
dictionarytxt 140, "Larger ones are", "rare. Popular", "among children" ; "子供達に大人気で", "大きいものほど", "価値が高くなる"
dictionarytxt 141, "Often disliked", "because of its", "deadly poison" ; "猛毒を持つために", "毛嫌いされる事も", "しばしば"
dictionarytxt 142, "A vicious wolf", "with fangs that", "pierce steel" ; "夜には遠吠えで", "仲間と会話をして", "確認しあっている"
dictionarytxt 143, "Goes berserk", "easily, may", "attack allies" ; "暴れやすい性格で", "たとえ仲間でも", "襲うこともある"
dictionarytxt 144, "Attacks with its", "big mouth and", "paralizing gas" ; "大きな口で攻撃と", "マヒガスを吐いて", "攻撃してくる"
dictionarytxt 145, "All its attacks", "are heavy and", "unstoppable" ; "全ての攻撃が重く", "どんな攻撃でも", "止められない"
dictionarytxt 146, "Usually pasive.", "Once it begins,", "its unstoppable" ; "普段は大人しいが", "一度暴れ出すと", "手が付けられない"
dictionarytxt 147, "Can smash even", "bedrock with", "its drill" ; "搭載したドリルは", "どんな岩盤でも", "砕いて突き進む"
dictionarytxt 148, "Jumps as high", "as a two-story", "shop" ; "大きな後ろ足での", "ジャンプはすごく", "二階の窓まで届く"
dictionarytxt 149, "Charges, then", "attacks using", "its nostrils" ; "突進攻撃と", "鼻状の穴からは", "特殊な攻撃を放つ"
dictionarytxt 150, "Its body is", "made entirely of", "mud and slime" ; "自在に体を変化し", "多彩な遠近攻撃で", "襲いかかる"
dictionarytxt 151, "It was created", "to amplify", "people's voice" ; "音声を増幅する", "ために開発された", "とも言われている"
dictionarytxt 152, "Created for an", "invasion, but", "never used" ; "かつては侵略用に", "製造されたが", "実働記録は無い"
dictionarytxt 153, "Packs a strong", "punch and can", "shock enemies." ; "大きな両手を使い", "強力なパンチと", "電撃を飛ばす"
dictionarytxt 154, "Spits water and", "uses tentacles", "to attack" ; "触腕で叩く攻撃と", "ろうとから水を", "飛ばして攻撃する"
dictionarytxt 155, "Attacks using", "water and its", "multiple legs" ; "多足を生かし", "打撃や水を使った", "攻撃が特徴的"
dictionarytxt 156, "Shoots muddy", "water that can", "rust weapons" ; "水を操る攻撃と", "武器がサビる", "泥水を浴びせる"
dictionarytxt 157, "Blasts water and", "swings its", "anchor to attack" ; "碇の強力な攻撃と", "時折水を吐いて", "攻撃してくる"
dictionarytxt 158, "Pecks at enemies", "and spits rust", "inducing water" ; "つつく攻撃と", "武器がサビる", "泥水を吐く"
dictionarytxt 159, "Attacks with its", "spear. Also uses", "water magic" ; "空中を浮遊して", "槍を使った攻撃と", "水魔法攻撃をする"
dictionarytxt 160, "Moves quickly by", "changing its", "shape" ; "形状を変化させ", "素早く移動する", "手段を持っている"
dictionarytxt 161, "Huge fish that", "attacks with its", "fins" ; "ヒレを使う攻撃と", "水を浴びせてくる", "巨大な魚"
dictionarytxt 162, "Ghost fox that", "control flames.", "Resists fire" ; "炎の妖術を操る", "子キツネの妖怪で", "炎に耐性も持つ"
dictionarytxt 163, "Looks small.", "Attacks with and", "resists fire" ; "見た目は小さいが", "炎の攻撃と耐性を", "持っている"
dictionarytxt 164, "A fire spirit.", "Attacks with", "fire sorcery" ; "お面の妖怪で", "炎を操り攻撃を", "しかけてくる"
dictionarytxt 165, "Wields swords in", "both hands and", "its armored" ; "全身に鎧をまとい", "両手の剣で攻撃を", "繰り出す"
dictionarytxt 166, "A demon that is", "skilled in fire", "magic" ; "妖術に長けた鬼で", "炎による強力な", "攻撃を持つ"
dictionarytxt 167, "Engulfed by", "flames. Can", "control them" ; "炎を全身にまとい", "炎を自在に操り", "襲いかかる"
dictionarytxt 168, "It was formed by", "extreme heat.", "Resists fire" ; "全身を高温な", "マグマで形成し", "炎に耐性を持つ"
dictionarytxt 169, "Its tough body", "resists weapons", "" ; "武器をはじき返す", "硬い体と炎の", "強力な攻撃を持つ"
dictionarytxt 170, "Its bullet", "quantity is", "top class" ; "その弾丸保有数は", "トップクラスの", "ものと言われる"
dictionarytxt 171, "Shroudred in", "straw as well as", "in mistery" ; "ワラに包まれた", "その中身は未だ", "謎に包まれている"
dictionarytxt 172, "Can control its", "disconected arms", "remotely" ; "本体から離れた", "アームは無線で", "操作するらしい"
dictionarytxt 173, "Shaped like an", "arm, for no", "apparent reason" ; "手らしき形状を", "していることに", "特に意味は無い"
dictionarytxt 174, "Its large claws", "weighs more than", "ts body!" ; "大きなハサミは", "体重の７割を", "占めるらしい"
dictionarytxt 175, "Focused on its", "muscles. Kind", "of stupid" ; "筋肉に栄養が", "偏ったために", "少し知的では無い"
dictionarytxt 176, "Prototype model.", "Lacks combat", "experience" ; "試作モデルとして", "開発された段階で", "実戦経験は浅い"
dictionarytxt 177, "Usually worried", "about dry skin", "and bedsores" ; "最近の悩みは", "ひどい乾燥肌と", "床ずれらしい"
dictionarytxt 178, "Can create wind", "and attack using", "its ears" ; "大きな耳を使い", "風をおこし", "攻撃をしかける"
dictionarytxt 179, "ts wrapped in", "fog body can", "absorb attacks" ; "体をキリで包み", "攻撃を吸収する", ""
dictionarytxt 180, "A smoke monster", "said to be born", "from pollution" ; "全身が煙りの塊で", "受けるダメージを", "軽減してしまう"
dictionarytxt 181, "Wielding a light", "spear, it can", "attack quickly" ; "小さな槍で", "素早く突いて", "攻撃をしかける"
dictionarytxt 182, "Creates gusts", "with its fin or", "uses its tongue" ; "長い舌の攻撃と", "ヒレで風をおこし", "襲いかかる"
dictionarytxt 183, "Its punches and", "kicks make it", "a good fighter" ; "格闘攻撃を主体に", "パンチやキックを", "繰り出してくる"
dictionarytxt 184, "Always creates", "tornadoes, can", "move quickly" ; "常に竜巻を起こし", "素早く移動する", "手段を持つ"
dictionarytxt 185, "Jumps very high", "despite its", "huge body" ; "大きな体だが", "強力なジャンプで", "飛び上がる"
dictionarytxt 186, "Attacks with its", "elastic mouth", "and fire beams" ; "伸縮自在な口で", "素早い攻撃と", "ビームを吐き出す"
dictionarytxt 187, "Uses lightning", "to shock foes", "" ; "雷を自在に操り", "好きな場所に", "落雷させる"
dictionarytxt 188, "Attacks using", "electricity from", "its head" ; "大きな頭に電気を", "溜めて放電させ", "攻撃をしかける"
dictionarytxt 189, "Calls forth", "lighting by", "beating its drum" ; "背中の太鼓を叩き", "雷を呼び寄せる", "妖術を持つ"
dictionarytxt 190, "Its body is clad", "in lighting", "" ; "全身に雷をまとい", "雷を使った強力な", "攻撃を持つ"
dictionarytxt 191, "Stronger than", "any human. It", "can fire beams" ; "怪力の持ち主だが", "口からもビームを", "吐いて攻撃する"
dictionarytxt 192, "Strikes by using", "its huge scythe", "" ; "大きなカマを使い", "強力な攻撃を", "しかけてくる"
dictionarytxt 193, "A strong weapon", "which attacks", "with its body" ; "重厚なボディで", "突進して破壊する", "強力な兵器"
dictionarytxt 194, "ts appearance", "doesn't reflect", "its nature" ; "愛きょうのある", "見た目は性能に", "影響していない"
dictionarytxt 195, "Despite having a", "big head, it's", "not very sharp" ; "やたらと発達した", "でかい頭だが", "知性は感じない"
dictionarytxt 196, "Boasts of its", "highly efficient", "small body" ; "小さなボディで", "高性能な優れもの", "が自慢らしい"
dictionarytxt 197, "Rushes forward", "to attack with", "its lance" ; "槍を使った攻撃と", "勢いよく突進して", "襲いかかる"
dictionarytxt 198, "Moves slowly,", "but its attacks", "are devastating" ; "動きは鈍いが", "破壊力のある", "攻撃を繰り出す"
dictionarytxt 199, "Evil red spider", "that curses you", "when cornered" ; "食事の後は自前の", "糸で歯間を掃除し", "歯には自信あり"
dictionarytxt 200, "Huge fighting", "robot with large", "scissors" ; "大きなハサミと", "巨大な体を持つ", "破壊兵器"
dictionarytxt 201, "Unheartly fish", "covered in black", "scales" ; "黒く硬いウロコで", "全身が被われた", "奇怪な魚"
dictionarytxt 202, "Cries terrlbly", "without its pot.", "" ; "ツボがないと", "ひどく泣き喚き", "手がつけられない"
dictionarytxt 203, "You can tell its", "age from its", "rings" ; "貝の巻きの多さで", "何年生きたかなど", "色々とわかる"
dictionarytxt 204, "Despite its", "looks, it likes", "clear skies" ; "見た目に反して", "雨好きで天気に", "する気はない"
dictionarytxt 205, "Carries a huge", "anchor which", "won't sink" ; "意外に沈まない", "体質のため碇を", "持つようになった"
dictionarytxt 206, "The liquid in", "its body is", "very smooth" ; "体内の液体は", "サラサラとして", "意外にキレイ"
dictionarytxt 207, "The recent", "humidity in its", "home bothers it" ; "最近は自宅の湿気", "がひどくて困って", "いるらしい"
dictionarytxt 208, "Looks like a", "frog, but is not", "amphibian at all" ; "カエルに見えるが", "カエルとは関係が", "無いとのこと"
dictionarytxt 209, "It is hard to", "have as sashimi", "" ; "身は固くてとても", "刺身では頂けない", "気がする"
dictionarytxt 210, "Looks like a", "baby fox, but is", "really old" ; "子狐に見えるが", "実は数百年", "生きた化け狐"
dictionarytxt 211, "Has a small body", "with a strong", "firepower" ; "小さい体なのに", "すごい火力が", "ちまたで有名"
dictionarytxt 212, "A mask of fire", "that burns like", "mad" ; "本体は実は", "火の塊の部分", "とも言われている"
dictionarytxt 213, "Its armor has a", "curse, so it can", "not take it off" ; "身にまとった鎧は", "自ら脱げない", "呪いがある"
dictionarytxt 214, "Has Worried over", "how it can only", "Summon fire" ; "炎以外の術が", "苦手で昔はよく", "悩んでいた"
dictionarytxt 215, "Looks troubled", "when its flames", "go out" ; "火が消えると", "とても困った表情", "をする事がある"
dictionarytxt 216, "No person has", "ever seen its", "lower body" ; "地中の下半身を", "見た人は一人も", "いないとの事"
dictionarytxt 217, "Loves the dark", "and never goes", "under the sun" ; "特に黒い色には", "意味は無いと", "言う人もいる"
dictionarytxt 218, "Likes to throw", "children down", "wells" ; "彼らは風が好きで", "風の方向に向かう", "習性がある"
dictionarytxt 219, "It doesn't emit", "smoke when", "sleeping" ; "眠るときは煙が", "出ていないと", "報告されている"
dictionarytxt 220, "Its body is fog", "but its fist is", "hard and fierce" ; "天候の変化に", "とても敏感だが", "特に何もしない"
dictionarytxt 221, "Very dangerous", "when it chases", "you" ; "ノギールと叫び", "迫ってくる時は", "とても危険な状態"
dictionarytxt 222, "Watch its tongue", "or you'll be", "licked" ; "時代に流されない", "彼らは変化を", "受け入れない"
dictionarytxt 223, "Does not look", "back at its", "loving family" ; "何事よりも格闘が", "優先し家庭も", "顧みることは無い"
dictionarytxt 224, "Its wings are", "fake, it floats", "in watersprouts" ; "翼はダミーで実は", "空は飛べないが", "竜巻で浮いている"
dictionarytxt 225, "Loves to wear", "tall sandals", "when going out" ; "ジャンプ時には", "妖術を使って高く", "跳べる"
dictionarytxt 226, "One bite and it", "will knock you", "out for a month" ; "夜中に集会を開く", "習性があるらしい", "見てみたいものだ"
dictionarytxt 227, "It's reported to", "be active during", "stormy days" ; "落雷が多い日は", "活動が活発になる", "と報告されている"
dictionarytxt 228, "Its pointy tip", "can attract", "lighting" ; "尖った先端は", "より落雷しやすい", "設計となっている"
dictionarytxt 229, "Maybe without", "its drums, it", "can't fight" ; "太鼓を取られると", "力が出なくなる", "かも知れない"
dictionarytxt 230, "Likes places", "that are struck", "by lighting" ; "落雷が多い土地を", "好み生息し更に", "落雷を増加させる"
dictionarytxt 231, "The snake of its", "tail often acts", "on its own" ; "尻尾のヘビは", "独自の判断で", "行動する事が多い"
dictionarytxt 232, "The huge scythe", "is actually part", "of its body" ; "大きなカマは", "体の一部なので", "自在に操れる"
dictionarytxt 233, "It can obtain", "electricity from", "its tusk" ; "プラグのような", "牙から充電も", "出来る優れもの"
dictionarytxt 234, "説明", "", "" ; "説明", "", ""
dictionarytxt 235, "説明", "", "" ; "説明", "", ""
dictionarytxt 236, "説明", "", "" ; "説明", "", ""
dictionarytxt 237, "説明", "", "" ; "説明", "", ""
dictionarytxt 238, "説明", "", "" ; "説明", "", ""
dictionarytxt 239, "説明", "", "" ; "説明", "", ""
dictionarytxt 240, "説明", "", "" ; "説明", "", ""
dictionarytxt 241, "説明", "", "" ; "説明", "", ""
dictionarytxt 242, "説明", "", "" ; "説明", "", ""
dictionarytxt 243, "説明", "", "" ; "説明", "", ""
dictionarytxt 244, "説明", "", "" ; "説明", "", ""
dictionarytxt 245, "説明", "", "" ; "説明", "", ""
dictionarytxt 246, "説明", "", "" ; "説明", "", ""
dictionarytxt 247, "説明", "", "" ; "説明", "", ""
dictionarytxt 248, "説明", "", "" ; "説明", "", ""
dictionarytxt 249, "説明", "", "" ; "説明", "", ""
dictionarytxt 250, "説明", "", "" ; "説明", "", ""
dictionarytxt 251, "説明", "", "" ; "説明", "", ""
dictionarytxt 252, "説明", "", "" ; "説明", "", ""
dictionarytxt 253, "説明", "", "" ; "説明", "", ""
dictionarytxt 254, "説明", "", "" ; "説明", "", ""
dictionarytxt 255, "説明", "", "" ; "説明", "", ""
dictionarytxt 256, "説明", "", "" ; "説明", "", ""
dictionarytxt 257, "説明", "", "" ; "説明", "", ""
dictionarytxt 258, "説明", "", "" ; "説明", "", ""
dictionarytxt 259, "説明", "", "" ; "説明", "", ""
dictionarytxt 260, "説明", "", "" ; "説明", "", ""
dictionarytxt 261, "説明", "", "" ; "説明", "", ""
dictionarytxt 262, "説明", "", "" ; "説明", "", ""
dictionarytxt 263, "説明", "", "" ; "説明", "", ""
dictionarytxt 264, "説明", "", "" ; "説明", "", ""
dictionarytxt 265, "説明", "", "" ; "説明", "", ""
dictionarytxt 266, "説明", "", "" ; "説明", "", ""
dictionarytxt 267, "説明", "", "" ; "説明", "", ""
dictionarytxt 268, "説明", "", "" ; "説明", "", ""
dictionarytxt 269, "説明", "", "" ; "説明", "", ""
dictionarytxt 270, "説明", "", "" ; "説明", "", ""
dictionarytxt 271, "説明", "", "" ; "説明", "", ""
dictionarytxt 272, "説明", "", "" ; "説明", "", ""
dictionarytxt 273, "説明", "", "" ; "説明", "", ""
dictionarytxt 274, "説明", "", "" ; "説明", "", ""
dictionarytxt 275, "説明", "", "" ; "説明", "", ""
dictionarytxt 276, "説明", "", "" ; "説明", "", ""
dictionarytxt 277, "説明", "", "" ; "説明", "", ""
dictionarytxt 278, "説明", "", "" ; "説明", "", ""
dictionarytxt 279, "説明", "", "" ; "説明", "", ""
dictionarytxt 280, "説明", "", "" ; "説明", "", ""
dictionarytxt 281, "説明", "", "" ; "説明", "", ""
dictionarytxt 282, "説明", "", "" ; "説明", "", ""
dictionarytxt 283, "説明", "", "" ; "説明", "", ""
dictionarytxt 284, "説明", "", "" ; "説明", "", ""
dictionarytxt 285, "説明", "", "" ; "説明", "", ""
dictionarytxt 286, "説明", "", "" ; "説明", "", ""
dictionarytxt 287, "説明", "", "" ; "説明", "", ""
dictionarytxt 288, "説明", "", "" ; "説明", "", ""
dictionarytxt 289, "説明", "", "" ; "説明", "", ""
dictionarytxt 290, "説明", "", "" ; "説明", "", ""
dictionarytxt 291, "説明", "", "" ; "説明", "", ""
dictionarytxt 292, "説明", "", "" ; "説明", "", ""
dictionarytxt 293, "説明", "", "" ; "説明", "", ""
dictionarytxt 294, "説明", "", "" ; "説明", "", ""
dictionarytxt 295, "説明", "", "" ; "説明", "", ""
dictionarytxt 296, "説明", "", "" ; "説明", "", ""
dictionarytxt 297, "説明", "", "" ; "説明", "", ""
dictionarytxt 298, "説明", "", "" ; "説明", "", ""
dictionarytxt 299, "説明", "", "" ; "説明", "", ""
dictionarytxt 300, "説明", "", "" ; "説明", "", ""
dictionarytxt 301, "説明", "", "" ; "説明", "", ""
dictionarytxt 302, "説明", "", "" ; "説明", "", ""
dictionarytxt 303, "説明", "", "" ; "説明", "", ""
dictionarytxt 304, "説明", "", "" ; "説明", "", ""
dictionarytxt 305, "説明", "", "" ; "説明", "", ""
dictionarytxt 306, "説明", "", "" ; "説明", "", ""
dictionarytxt 307, "説明", "", "" ; "説明", "", ""
dictionarytxt 308, "説明", "", "" ; "説明", "", ""
dictionarytxt 309, "説明", "", "" ; "説明", "", ""
dictionarytxt 310, "説明", "", "" ; "説明", "", ""
dictionarytxt 311, "説明", "", "" ; "説明", "", ""
dictionarytxt 312, "説明", "", "" ; "説明", "", ""
dictionarytxt 313, "説明", "", "" ; "説明", "", ""
dictionarytxt 314, "説明", "", "" ; "説明", "", ""
dictionarytxt 315, "説明", "", "" ; "説明", "", ""
dictionarytxt 316, "説明", "", "" ; "説明", "", ""
dictionarytxt 317, "説明", "", "" ; "説明", "", ""
dictionarytxt 318, "説明", "", "" ; "説明", "", ""
dictionarytxt 319, "説明", "", "" ; "説明", "", ""
dictionarytxt 320, "説明", "", "" ; "説明", "", ""
dictionarytxt 321, "説明", "", "" ; "説明", "", ""
dictionarytxt 322, "説明", "", "" ; "説明", "", ""
dictionarytxt 323, "説明", "", "" ; "説明", "", ""
dictionarytxt 324, "説明", "", "" ; "説明", "", ""
dictionarytxt 325, "説明", "", "" ; "説明", "", ""
dictionarytxt 326, "説明", "", "" ; "説明", "", ""
dictionarytxt 327, "説明", "", "" ; "説明", "", ""
dictionarytxt 328, "説明", "", "" ; "説明", "", ""
dictionarytxt 329, "説明", "", "" ; "説明", "", ""
dictionarytxt 330, "説明", "", "" ; "説明", "", ""
dictionarytxt 331, "説明", "", "" ; "説明", "", ""
dictionarytxt 332, "説明", "", "" ; "説明", "", ""
dictionarytxt 333, "説明", "", "" ; "説明", "", ""
dictionarytxt 334, "説明", "", "" ; "説明", "", ""
dictionarytxt 335, "説明", "", "" ; "説明", "", ""
dictionarytxt 336, "説明", "", "" ; "説明", "", ""
dictionarytxt 337, "説明", "", "" ; "説明", "", ""
dictionarytxt 338, "説明", "", "" ; "説明", "", ""
dictionarytxt 339, "説明", "", "" ; "説明", "", ""
dictionarytxt 340, "説明", "", "" ; "説明", "", ""
dictionarytxt 341, "説明", "", "" ; "説明", "", ""
dictionarytxt 342, "説明", "", "" ; "説明", "", ""
dictionarytxt 343, "説明", "", "" ; "説明", "", ""
dictionarytxt 344, "説明", "", "" ; "説明", "", ""
dictionarytxt 345, "説明", "", "" ; "説明", "", ""
dictionarytxt 346, "説明", "", "" ; "説明", "", ""
dictionarytxt 347, "説明", "", "" ; "説明", "", ""
dictionarytxt 348, "説明", "", "" ; "説明", "", ""
dictionarytxt 349, "説明", "", "" ; "説明", "", ""
dictionarytxt 350, "説明", "", "" ; "説明", "", ""
dictionarytxt 351, "説明", "", "" ; "説明", "", ""
dictionarytxt 352, "説明", "", "" ; "説明", "", ""
dictionarytxt 353, "説明", "", "" ; "説明", "", ""
dictionarytxt 354, "説明", "", "" ; "説明", "", ""
dictionarytxt 355, "説明", "", "" ; "説明", "", ""
dictionarytxt 356, "説明", "", "" ; "説明", "", ""
dictionarytxt 357, "説明", "", "" ; "説明", "", ""
dictionarytxt 358, "説明", "", "" ; "説明", "", ""
dictionarytxt 359, "説明", "", "" ; "説明", "", ""
dictionarytxt 360, "説明", "", "" ; "説明", "", ""
dictionarytxt 361, "説明", "", "" ; "説明", "", ""
dictionarytxt 362, "説明", "", "" ; "説明", "", ""
dictionarytxt 363, "説明", "", "" ; "説明", "", ""
dictionarytxt 364, "説明", "", "" ; "説明", "", ""
dictionarytxt 365, "説明", "", "" ; "説明", "", ""
dictionarytxt 366, "説明", "", "" ; "説明", "", ""
dictionarytxt 367, "説明", "", "" ; "説明", "", ""
dictionarytxt 368, "説明", "", "" ; "説明", "", ""
dictionarytxt 369, "説明", "", "" ; "説明", "", ""
